,Image,Information,Rating,Latitude,Longitude,Label
0,data/Banh_beo/q1_4-4.jpg,Bánh bèo chén Thảo Nhi,4.4,10.8083302533429,106.70385179622228,0
1,data/Banh_beo/q2_4-5.jpg,Quán bánh bèo chén,4.5,10.8089883043438,106.70934781016189,0
2,data/Banh_beo/q3_4-3.jpg,Bánh bèo cô Mai Phú Yên,4.3,10.799402328614253,106.6890015495658,0
3,data/Banh_beo/q5_5.jpg,Mì Quảng - Bánh Bèo Hẻm 549 XVNT,5.0,10.80970988822415,106.71087863501432,0
4,data/Banh_beo/q5_5.png,Bánh bèo Huế Hương Giang,5.0,10.81380759350175,106.7213558748424,0
5,data/Banh_bot_loc/q1_4-4.jpg,Thánh Gióng Express - Bánh bột lọc Buôn Mê,4.4,10.792493590966208,106.6974514621782,19
6,data/Banh_bot_loc/q2_5.jpg,Tiệm Nhà Mỳ - Bánh Bèo & Bánh Bột Lọc Phan Thiết,5.0,10.802991210347471,106.68852991482346,19
7,data/Banh_bot_loc/q3_4-4.jpg,Quán Ăn 3 Mẹt: Bánh Bèo Nậm Lọc- Cơm Bún Hến- Hến Xúc Bánh Đa- Nem Chả Huế,4.4,10.799644788308118,106.6876638421468,19
8,data/Banh_bot_loc/q4_4-3.jpg,Bánh Bèo-Bánh Nậm-Bánh Bột Lọc,4.3,10.80178387253354,106.70017438691606,19
9,data/Banh_bot_loc/q5_4.jpg,Bánh Bột Lọc - Bánh Bèo Bình Định - Quán Cô Hoa,4.0,10.797976056337474,106.69762615491304,19
10,data/Banh_can/q1_4-4.jpg,Bánh căn Nha Trang,4.4,10.80808563960728,106.7018951457074,20
11,data/Banh_can/q2_4-2.jpg,Bánh Căn Vỉa Hè,4.2,10.81856225438836,106.69914851411312,20
12,data/Banh_can/q3_4-8.jpg,Phan Rang Quán - Bánh Căn- Bánh Xèo - Nem Cuốn  Bình Thạnh,4.8,10.805863089053526,106.71646805950684,20
13,data/Banh_can/q4_4-8.jpg,Bánh Căn Bánh Xèo cô Trang,4.8,10.80236140973829,106.72381995458024,20
14,data/Banh_can/q5_4-4.jpg,Bánh Căn CÔ BA,4.4,10.79389414730054,106.70560677681478,20
15,data/Banh_canh/q1_4-4.jpg,Bánh Canh Bột Gạo Huế,4.4,10.799771614824222,106.71103323151952,21
16,data/Banh_canh/q2_4.jpg,Bánh Canh Cá Lóc Nồi Đất - QUÊ NHÀ FOODY,4.0,10.792787673814866,106.70711288833736,21
17,data/Banh_canh/q3_4-4.jpg,Bánh canh bột cắt 158,4.4,10.79693150417984,106.710709320854,21
18,data/Banh_canh/q4_3-1.jpg,Bánh canh bột gạo 246,3.1,10.799097114861311,106.71120381103891,21
19,data/Banh_canh/q5_5.jpeg,Cháo bánh canh nhà làm Ngọc Thuỷ,5.0,10.80000878012365,106.7155736687106,21
20,data/Banh_cuon/q1.jpg,Bánh Cuốn Trứng Vạn Kiếp,4.5,10.800896467920923,106.6938072414388,2
21,data/Banh_cuon/q2.jpg,Bánh cuốn nóng Hào Hoa,5.0,10.774997264755788,106.69619773369924,2
22,data/Banh_cuon/q3.jpg,Bánh cuốn Bà Năm,4.1,10.794497993448912,106.73101239279336,2
23,data/Banh_cuon/q4.jpg,Bánh Cuốn Thanh Trì,4.6,10.786367862246264,106.68448479408944,2
24,data/Banh_cuon/q5.jpg,Bánh Cuốn Nóng - Bánh Ướt Cô Lan - Tôn Đản Q.4,5.0,10.75564383299398,106.7060661602624,2
25,data/Banh_duc/q1.jpg,Bánh đúc nóng _ Nguyên,4.3,10.79922832028914,106.69355473049836,3
26,data/Banh_duc/q2.jpg,Bánh Đúc Nóng Bà Xuân,4.1,10.760438988064292,106.69795454213984,3
27,data/Banh_duc/q3.jpg,Bánh đúc nóng ngõ Hội Vũ,4.7,10.799836618328966,106.68802851515493,3
28,data/Banh_duc/q4.jpg,Bánh Đúc Nóng Uyên Food,4.4,10.812145179598083,106.68848309872968,3
29,data/Banh_duc/q5.jpg,Bánh Đúc Phan Đăng Lưu,4.1,10.803340263398033,106.68397234111669,3
30,data/Banh_gio/q1.jpeg,Bánh giò Bếp Nhà Tui,4.5,10.792992208272723,106.6845181173698,4
31,data/Banh_gio/q2.jpg,Bánh giò Cô Tấm,4.3,10.773746878565392,106.68422189151096,4
32,data/Banh_gio/q3.jpg,Hanoi Ngon - 243/7 Tô Hiến Thành | Ăn vặt chuẩn Hà Nội Ngon,4.7,10.778647643076283,106.66731961149728,4
33,data/Banh_khot/q1.jpg,Bánh Khọt Dì Năm Quận 1 - Chính Gốc Vũng Tàu,4.5,10.76987410055633,106.6902270115599,22
34,data/Banh_khot/q2.jpg,Bánh khọt quận 2,5.0,10.790401807687028,106.73291587934226,22
35,data/Banh_khot/q3.jpg,Bánh Khọt Cối Đá,4.4,10.76987410055633,106.6902270115599,22
36,data/Banh_khot/q4.jpg,Bánh khọt chay cụ Be,5.0,10.761314089467628,106.70183175463671,22
37,data/Banh_khot/q5.jpg,Bánh Khọt 267,4.0,10.766620440176563,106.66229665156196,22
38,data/Banh_chung/q1.jpg,Bánh Chưng Nguyễn Gia _ Sỉ Lẻ Bánh Chưng HCM,4.1,10.8020343584719,106.65884139719752,1
39,data/Banh_chung/q2.jpg,Bánh chưng cô Mai,4.8,10.822147086877468,106.68514156275474,1
40,data/Banh_chung/q3.jpg,Ngoc Bich sticky rice cakes,4.7,10.795420714452051,106.69487255400328,1
41,data/Banh_chung/q4.jpg,Bánh chưng Thái bình,5.0,10.724130916000249,106.62515849841292,1
42,data/Banh_mi/q1.jpg,Bánh Mì Huynh Hoa,4.1,10.771548002127275,106.69239523962328,5
43,data/Banh_mi/q2.jpg,Bánh Mì PewPew,3.9,10.806069008587642,106.7149164355614,5
44,data/Banh_mi/q3.jpg,Bánh mì heo quay - Tuyền Kí,4.0,10.803130946676044,106.7315923391625,5
45,data/Banh_mi/q4.jpg,Bánh Mì Xíu Mại Nguyễn Kiệm,4.9,10.81311278503203,106.67877564195292,5
