caption,label
"Bánh bèo là một món bánh xuất thân từ Cố Đô Huế rất thịnh hành ở miền Trung, ngoài ra cũng phổ biến ở miền Nam Việt Nam. Bánh bèo đã trở thành một nét đẹp trong văn hóa ẩm thực của người dân Việt Nam từ bao đời nay. Tên bánh bèo có thể xuất phát từ hình dạng của nó: giống như cái lá của cây bèo. Bánh bèo là sự kết hợp của 3 yếu tố chính đó là bánh làm từ bột gạo, nhân để rắc lên bánh làm bằng tôm xay nhuyễn, và nước chấm. Nước chấm bánh bèo là một hỗn hợp với thành phần chính là nước mắm và thường đổ trực tiếp vào bánh chứ không cần chấm. Món bánh bèo trở nên hấp dẫn và có mùi vị hơn khi thêm mỡ hành, đậu phộng rang giã nhỏ. Tuỳ theo địa phương mà có những cách thêm bớt khác nhau cho món bánh này, ví dụ ở Sài Gòn thường bỏ đậu xanh, đồ chua, lại cho ăn kèm bánh đúc, bánh ít, bánh bột lọc. Ở miền Trung, bánh bèo thường được phân ra làm hai loại là bánh bèo Quảng Nam và bánh bèo Huế. Bánh bèo Quảng Nam thường là bánh to, dày, ăn với nhân là bột nấu nhão gồm có thịt, tôm băm, hẹ, khi ăn bỏ thêm ít hành phi, ớt băm. Bánh bèo Huế có khác chút ít, bánh mỏng hơn, có bột tôm sấy, khi ăn kèm theo da heo chiên giòn. Bánh bèo miền Trung đa phần đúc bằng chén (bánh bèo chén). Sang tới miền Nam thì bánh bèo có nhiều kiểu cách khác nhau, nhưng thường là ăn chung với nhiều loại bánh cũng như gia vị khác, làm cho hương vị đặc trưng của bánh bèo mất đi phần nào. Ở miền Nam, bánh bèo biến thể thành bánh bèo ngọt. Trong chế biến người ta trộn nước đường (thường là đường vàng hòa tan vô nước rồi nấu sôi lên để nguội) vào bột gạo, có thêm lá dứa cho thơm. Nhân bánh thường là đậu xanh nấu tán nhuyễn và bánh bèo ngọt miền Nam ăn với nước cốt dừa. Đây là một món bánh ăn vặt rẻ tiền, ngon và là ký ức tuổi thơ của người miền Nam.",0
"Bánh chưng (""chưng"" trong ""chưng cất"", nghĩa là hấp nước, nhưng thực tế bánh được nấu bằng cách luộc) là một loại bánh truyền thống của dân tộc Việt nhằm thể hiện lòng biết ơn của con cháu đối với cha ông với đất trời. Nguyên liệu làm bánh chưng gồm gạo nếp, đậu xanh, thịt lợn, lá dong. Bánh thường được làm vào các dịp Mùng 1 Tết Nguyên Đán của dân tộc Việt, cũng như ngày giỗ tổ Hùng Vương (mùng 10 tháng 3 âm lịch)  ",1
"Bánh cuốn, còn gọi là bánh mướt hay bánh ướt (khi không có nhân), là một món ăn làm từ bột gạo hấp tráng mỏng, cuộn tròn, bên trong có thể có nhân hành, thịt, mộc nhĩ hoặc không nhân. Trang Traveller - chuyên trang du lịch nổi tiếng của Australia - đã công bố danh sách 10 món ăn ngon và hấp dẫn nhất mà du khách nên thưởng thức trong năm 2023. Đặc biệt, món bánh cuốn của Việt Nam đã vinh dự góp mặt trong danh sách này. Theo Traveller, bánh cuốn là một món ăn có cách chế biến rất đặc biệt. Được làm từ bột gạo, bánh cuốn được tráng mỏng trên một miếng vải và hấp chín trong vài phút. Sau khi bánh chín, nó được cuốn với thịt lợn băm và mộc nhĩ, ăn kèm với rau thơm, hành phi và nước mắm chua ngọt. Trong danh sách 10 món ăn du khách nên thử trong năm 2023, ngoài bánh cuốn của Việt Nam còn có các món như: cá bơn nướng (Tây Ban Nha), bánh burger kiểu Oklahoma (Mỹ), Mole Negro (Mexico), các món ăn nhẹ của Sri Lanka, Sushi (Nhật Bản), Ragu Napoletano (Ý), Sarawak Laksa (Malaysia), xúc xích vịt Sanga (Úc), và Tahdig (Iran).  ",2
"Bánh đúc là một loại bánh của Việt Nam, thường được làm bằng bột gạo (tại miền Bắc và miền Trung) hoặc bột năng (miền Nam) với một số gia vị. Bánh được làm thành tấm to, khi ăn thì cắt nhỏ thành miếng tùy thích. Là món ăn dân dã thịnh hành khắp ba miền, bánh đúc ăn giòn, mát, mịn, no bụng mà lại dễ tiêu, dễ làm và giá thành cũng rất rẻ. Không chỉ được ăn như một thức quà quê, bữa ăn sáng mà điển hình là bánh đúc chấm tương, bánh đúc cũng có thể ăn kèm với canh riêu cua, rau thơm, mắm tôm, mật ong, mật mía, mứt trái cây và thậm chí cả cá kho, thịt kho tùy thích. Từ loại bánh đúc thuần túy chỉ được bằng bột gạo pha với nước vôi trong ngai ngái mùi vôi, bánh đúc cũng đã có nhiều biến tấu như bánh đúc cẩm thạch, bánh đúc lạc, bánh đúc dừa, bánh đúc ngô v.v.",3
"Bánh giò là một loại bánh được làm bằng bột gạo tẻ, bột năng hòa với nước xương hầm, nhân làm từ thịt nạc vai có kèm mộc nhĩ, hành tím khô, hành ta, hạt tiêu, nước mắm, muối, (ở Miền Nam nhân bánh còn có thêm trứng cút) Bánh giò có hình dài nhô cao như hình bàn tay úp khum khum với các ngón tay sát nhau, bánh được gói bằng lá chuối và hấp bằng chõ từ 30 đến 40 phút.",4
"Bánh mì là một loại baguette của Việt Nam với lớp vỏ ngoài giòn tan, ruột mềm, còn bên trong là phần nhân. Tùy theo văn hóa vùng miền hoặc sở thích cá nhân mà người ta có thể lựa chọn nhiều loại đồ ăn kèm khác nhau, ngoài ra tên gọi của bánh cũng phụ thuộc phần lớn vào những biến tấu ấy. Tuy nhiên, những phiên bản phổ biến nhất vẫn thường chứa chả lụa, thịt, cá hoặc thực phẩm chay, kèm theo một số nguyên liệu phụ khác như pa tê, bơ, rau, ớt, trứng và đồ chua. Bên cạnh đó, bánh còn có thể dùng chung với nhiều món ăn đa dạng, chẳng hạn như cá mòi, xíu mại hoặc thịt bò kho. Bánh mì được xem như một loại thức ăn nhanh bình dân phổ biến và thường được tiêu thụ vào bữa sáng hoặc bất kỳ bữa phụ nào trong ngày. Do có giá thành phù hợp nên bánh đã trở thành món ăn rất được nhiều người ưa chuộng. Về lịch sử, bánh mì có nguồn gốc từ bánh baguette do người Pháp đưa vào miền Nam Việt Nam từ thế kỷ 19. Trong những thập kỷ tiếp theo, bánh mì dần lan rộng ra khắp Việt Nam, tuy nhiên phổ biến nhất vẫn là ở Sài Gòn. Người Sài Gòn sau đó đã cải biên chiếc bánh baguette thành ổ bánh mì nhỏ và ngắn hơn, chỉ còn khoảng 30–40 cm, còn ruột bánh thì rỗng hơn để chứa được nhiều nhân, tương tự như món bánh mì kẹp ở phương Tây. Sau năm 1975, theo chân những cuộc di cư vượt biển của người Việt, bánh mì Việt Nam đã trở nên phổ biến ở nhiều quốc gia trên thế giới. Món ăn này gần như có mặt ở mọi đất nước có người Việt hải ngoại sinh sống vì nguyên liệu dễ tìm cũng như cách chế biến đơn giản, phù hợp với nền văn hóa địa phương. Trong cách gọi thông thường, người Mỹ Anh hóa từ ""bánh mì"" thành banh mi thay vì gọi là Vietnamese sandwich như những món ăn tương tự. Nhiều nhà phê bình lẫn giới mộ điệu, chẳng hạn như tờ The Guardian, đã đưa món bánh vào danh sách những loại bánh mì kẹp xuất sắc nhất toàn cầu. Bên cạnh đó, bánh mì Việt Nam còn là chủ đề chính của một số lễ hội, hội thảo cũng như trong các tác phẩm nghệ thuật. Ngoài ra, đây cũng là một trong những món ăn làm dấy lên tranh cãi về vấn đề an toàn thực phẩm ở Việt Nam cũng như một vài khu vực khác trên thế giới.",5
"Bánh pía (tiếng Trung: 朥饼; Bạch thoại tự: lâ-piáⁿ) là món bánh ngọt ngàn lớp có nhân và là bánh trung thu truyền thống xuất phát từ Triều Châu, Trung Quốc và được du nhập vào các khu phố người Hoa trên thế giới. Đặc biệt ở Đông Nam Á, nơi có Hoa Kiều cư ngụ là Malaysia, Indonesia, Philippines và Singapore. Ở Indonesia, bánh có tên gọi là Bakpia Pathok. Tại Việt Nam, bánh pía là một trong những đặc sản của Sóc Trăng, do người Hoa di cư vào miền Nam sáng tạo ra. Bánh pía được làm từ bột mì nhào mỡ nước từ heo. Vì lý do thương mại, người sản xuất thường dùng phẩm đỏ in tên hoặc nhãn hiệu của nơi làm bánh trực tiếp lên mặt bánh. Ngoài ra, thành phần nhân bánh, nguồn gốc xuất xứ cũng thường được in trực tiếp lên bánh.",6
"Bánh tét, có nơi gọi là bánh đòn, là một loại bánh trong ẩm thực của cả người Việt và một số dân tộc ít người ở miền Nam và miền Trung Việt Nam, là nét tương đồng của bánh chưng ở miền Bắc về nguyên liệu, cách nấu, chỉ khác về hình dáng và sử dụng lá chuối để gói thay vì lá dong, vì vậy nó cũng được sử dụng nhiều nhất trong dịp Tết Nguyên đán cổ truyền của dân tộc Việt Nam với vai trò không khác bánh chưng. Nhưng cũng có nhiều bánh tét nhân chuối hay đậu đen được làm hay là bán quanh năm. Ở các vùng trung du và miền núi phía Bắc như Bắc Ninh, Bắc Giang, Vĩnh Phúc, Hà Tây,... cũng có loại bánh tương tự có tên là bánh tày hoặc là bánh dài. Đây là loại bánh Tết thông dụng ở vùng cố đô Cổ Loa, Kinh Bắc, của các dân tộc ít người miền Bắc. Giáo sư Trần Quốc Vượng cho rằng bánh chưng cổ, nguyên thủy là hình tròn như bánh tét hay bánh tày còn bánh tét ra đời trong quá trình giao lưu văn hóa Việt-Chăm, người Việt tạo ra chiếc bánh Tét từ sự hình tượng hóa yếu tố Linga từ thần Siva người Chăm. Có truyền thuyết khác cho rằng mùa xuân năm 1789, Nguyễn Huệ tiến quân ra Bắc đánh quân Thanh. Lúc bấy giờ quân lính được nghỉ ngơi, ăn Tết. Trong số quân lính có một người lính được vợ gửi cho món bánh làm từ gạo nếp, nhân đậu xanh, hình dạng như bánh tét ngày nay. Anh lính mang bánh mời vua Quang Trung. Vua ăn thấy ngon bèn hỏi thăm về loại bánh này. Anh lính kể bánh do người vợ ở quê nhà làm gửi cho. Mỗi lần ăn bánh, anh càng thương, càng nhớ vợ nhiều hơn. Anh mắc chứng đau bụng nhưng khi ăn bánh này thì lại không thấy đau nữa. Nghe câu chuyện cảm động của anh lính, vua bèn ra lệnh cho mọi người gói loại bánh này để ăn Tết và đặt tên là bánh Tết. Lâu ngày tên bánh biến thành bánh Tét. Bánh tét có hình trụ dài nên còn được gọi là đòn bánh, hai đòn thường có một quai bánh chung bằng gân lá chuối tạo thành một cặp. Người ta còn làm bánh không có nhân thịt để có thể để được lâu hơn hoặc ăn chay với nhân có thể là chuối chín. Bánh được đánh giá là gói khéo khi bánh được làm tròn đều, buộc chặt, nhân bánh nằm chính giữa, có nghệ nhân còn gói nhân khi cắt ra có hình tam giác. Bánh tét ngày Tết thường để lâu được vài ngày, được nấu vào đêm giao thừa để những ngày Tết có thể dùng để ăn với dưa món và thịt kho. Đây thường là bánh tét nhân mặn với thịt, mỡ và đậu xanh, và dùng cho nhiều người ăn. Ngoài ra, còn có bánh tét nhân ngọt với nhân chuối hoặc đậu xanh, loại to dùng cho nhiều người ăn hoặc loại nhỏ dùng cho một người ăn.  ",7
"Bánh xèo là một loại bánh phổ biến ở châu Á, phiên bản bánh xèo của Nhật Bản và Triều Tiên có bột bên ngoài, bên trong có nhân là tôm, thịt, giá đỗ, kim chi, khoai tây, hẹ, (bánh xèo Triều Tiên); tôm, thịt, cải thảo (Nhật Bản) được rán màu vàng, đúc thành hình tròn hoặc gấp lại thành hình bán nguyệt. Tuỳ theo từng địa phương tại Việt Nam mà bánh được thưởng thức với nét đặc trưng riêng. Thường có 2 phương pháp chính: đổ bánh xèo giòn và bánh xèo dai. Ăn bằng hai cách: ăn bốc hoặc ăn bằng đũa.  ",8
"Bún bò Huế là một trong những đặc sản của thành phố Huế, mặc dù món bún này phổ biến trên cả ba miền ở Việt Nam và cả người Việt tại hải ngoại. Tại Thừa Thiên Huế, món này được gọi đơn giản là ""bún bò"" hoặc gọi cụ thể hơn là ""bún bò thịt bò"". Các địa phương khác gọi là ""bún bò Huế"", ""bún bò gốc Huế"" để chỉ xuất xứ của món ăn này. Bún bò chính gốc Huế có nguyên liệu chính là bún, thịt bắp bò, giò heo, cùng nước dùng có màu đỏ đặc trưng do ớt và vị sả và ruốc. Trong nước dùng của bún, người Huế thường nêm vào một ít mắm ruốc và sả cây, góp phần làm nên hương vị rất riêng của nồi bún bò Huế. Bún bò Huế được ăn với hành lá cắt nhỏ, hành tây cắt mỏng, chanh, nước mắm ngon dằm ớt trái và tương ớt kiểu Huế. Người Huế thuở xưa thường không ăn bún bò Huế với rau sống. Nếu có, thường là bắp chuối xắt mỏng, ít rau thơm (húng lủi) và rau răm. Bún bò Huế chính gốc không có thịt tái, chả heo, mà có giò heo, thịt bò bắp và gân bò; huyết và chả cua được thêm vào tùy theo từng hàng quán.  ",9
